id_registro,convocatoria,expediente,ambito,razon_social,nif,titulo_proyecto,puntuacion,estado_en_fuente,subvencion_eur,solicitado_eur,relacion,motivo_sector,nota_revision,fuentes
sector:2018:AEI-010500-2018-120,2018,AEI-010500-2018-120,Frío,CITET,G85321883,GETRA: GEstión de la TRAzabilidad de temperatura en el transporte,51.49,concedida_segun_listado,59339.00,,directa,Trazabilidad de la temperatura durante el transporte.,,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2018/Documents/Listado_provisional_%20ayudas_concedidas.pdf"", ""label"": ""Anexo de propuesta provisional"", ""pagina"": 15}, {""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2018/Documents/Listado_definitivo_ayudas_concedidas_AEI_2018.pdf"", ""label"": ""Fuente del estado e importe en la base"", ""pagina"": ""8""}]"
sector:2018:AEI-010500-2018-233,2018,AEI-010500-2018-233,Frío,FUNDACION PARA EL DESARROLLO DE LAS NUEVAS TECNOLOGÍAS DEL HIDRÓGENO EN ARAGÓN,,PLATAFORMA DE GSTIÓN INTELIGENTE 4.0. EN CÁMARAS DE REFRIGERACIÓN DE LA INDUSTRIA ALIMENTARIA (GESINFRIO 4.0),,propuesta_desestimada_motivos,,,directa,Gestión inteligente de cámaras de refrigeración alimentaria.,,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2018/Documents/Listado_provisional_ayudas_desestimadas.pdf"", ""label"": ""Anexo de propuesta provisional"", ""pagina"": ""10""}, {""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2018/Documents/Listado_provisional_ayudas_desestimadas.pdf"", ""label"": ""Fuente del estado e importe en la base"", ""pagina"": ""10""}]"
sector:2021:AEI-010500-2021-192,2021,AEI-010500-2021-192,Frío,ASOCIACIÓN CLÚSTER ALIMENTARIO DE GALICIA,G27407212,FOODTECHINK Investigación sobre la aplicabilidad industrial de nuevos indicadores colorimétricos para monitorizar calidad y cadena de frío en alimentos frescos envasados,63.17,concedida_segun_listado,122092.00,,directa,Indicadores colorimétricos para controlar la cadena de frío de alimentos envasados.,,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2021/Documents/AEI_2021_Listado_provisional_ayudas_concedidas.pdf"", ""label"": ""Anexo de propuesta provisional"", ""pagina"": ""2""}, {""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2021/Documents/Listado_definitivo_ayudas_concedidas_AEI_2021.pdf"", ""label"": ""Fuente del estado e importe en la base"", ""pagina"": ""1""}, {""url"": ""https://ceteca.net/es/servizos/idi/proxectos/proyecto-foodtechink/"", ""label"": ""Centro participante: descripción y consorcio""}]"
sector:2021:AEI-010600-2021-82,2021,AEI-010600-2021-82,Frío,ASSOCIACIÓ CATALANA D'INNOVACIÓ DEL SECTOR CARNI PORCÍ (INNOVACC),,DESEMBOXMEAT - Viabilidad de un prototipo para desmoldear la carne congelada en cajas,,propuesta_desestimada_puntuacion,,,relacionada,Desmoldeo automatizado de carne congelada; manipulación industrial previa a la distribución.,,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2021/Documents/AEI_2021_Listado_provisional_ayudas_denegadas.pdf"", ""label"": ""Anexo de propuesta provisional"", ""pagina"": ""3""}]"
sector:2021b:AEI-010500-2021b-60,2021b,AEI-010500-2021b-60,Frío,ASSOCIACIÓ CATALANA D'INNOVACIÓ DEL SECTOR CARNI PORCÍ (INNOVACC),,DESEMBOXMEAT - Desarrollo de un prototipo automático para desmoldear la carne congelada en la industria cárnica,,propuesta_desestimada_puntuacion,,,relacionada,Desmoldeo de carne congelada; continuación temática en otra convocatoria.,,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2021-b/Documents/AEI_2021b_Listado_provisional_ayudas_denegadas.pdf"", ""label"": ""Anexo de propuesta provisional"", ""pagina"": ""4""}]"
sector:2022b:AEI-010500-2022b-164,2022b,AEI-010500-2022b-164,Frío,ASOCIACIÓN CLUSTER FOOD+I,G26460576,Investigación de Automatización del almacenaje en cámaras de congelación con la integración de AGVs y Visión Artificial_COOLBOT,52.26,concedida_segun_listado,162146.00,,directa,Automatización del almacenaje en cámaras de congelación con AGV y visión artificial.,,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2022b/Documents/AEI_2022b_Listado_provisional_ayudas_concedidas.pdf"", ""label"": ""Anexo de propuesta provisional"", ""pagina"": 27}, {""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2022b/Documents/AEI_2022b_Listado_definitivo_ayudas_concedidas.pdf"", ""label"": ""Fuente del estado e importe en la base"", ""pagina"": ""4""}]"
sector:2024:AEI-010500-2024-311,2024,AEI-010500-2024-311,Frío,ASSOCIACIÓ CLUSTER DEL PACKAGING,G65920035,COOLPACK. Envase sostenible y trazable para productos congelados,51.96,lista_espera_sin_concesion,,199921,directa,Envase sostenible y trazable para productos congelados.,,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2024/Documents/Propuesta de solicitudes aprobadas en lista de espera.pdf"", ""label"": ""Propuesta de solicitudes aprobadas en lista de espera"", ""pagina"": 4}]"
sector:2025:AEI-010500-2025-94,2025,AEI-010500-2025-94,Frío,ASOCIACIÓN CLÚSTER ALIMENTARIO DE GALICIA,G27407212,"GEMIAL, Gemelo Digital Integral para la Optimización de la Producción y Almacenamiento en frío en la Industria Alimentaria",60.8,concedida_segun_listado,236033.0,236033,directa,Gemelo digital para producción y almacenamiento en frío en la industria alimentaria.,,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2025/Documents/Listado Propuesta Resolución Definitiva.pdf"", ""label"": ""Propuesta de resolución definitiva"", ""pagina"": 3}, {""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2025/Documents/Listado_AyudasConcedidas.pdf"", ""label"": ""Fuente del estado e importe en la base"", ""pagina"": ""5""}]"
sector:2013:AEI-010200-2013-50,2013,AEI-010200-2013-50,Transporte y distribución,ASOCIACIÓN CLUSTER DE MOVILIDAD Y LOGISTICA DE EUSKADI,G01387414,Memoria de la solicitud de ayuda para el apoyo al funcionamiento de las estructuras de coordinación y gestión del Clúster de Movilidad y Logística de Euskadi 2013,55,concedida_segun_listado,74626.00,,general,"Transporte, distribución, almacenaje o servicios logísticos identificados en el título del proyecto.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/1-%20Listado_provisional_ayudas_concedidas.pdf"", ""label"": ""Anexo provisional: título y entidad"", ""pagina"": ""1""}, {""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/Listado_definitivo_ayudas_concedidas.pdf"", ""label"": ""Fuente del estado e importe"", ""pagina"": ""8""}]"
sector:2013:AEI-010300-2013-129,2013,AEI-010300-2013-129,Transporte y distribución,ASOCIACION CLUSTER DEL ENVASE TRANSPORTE LOGISTICA Y MERCANCIAS EXTREMADURA,G06421929,OPTIMIZACION DE LAS ENTRADAS Y SALIDAS DE MERCANCÍAS EN EXTREMADURA MEDIANTE EL FOMENTO DEL TRANSPORTE POR FERROCARRIL,50,concedida_segun_listado,32168.00,,general,"Transporte, distribución, almacenaje o servicios logísticos identificados en el título del proyecto.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/1-%20Listado_provisional_ayudas_concedidas.pdf"", ""label"": ""Anexo provisional: título y entidad"", ""pagina"": ""2""}, {""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/Listado_definitivo_ayudas_concedidas.pdf"", ""label"": ""Fuente del estado e importe"", ""pagina"": ""8""}]"
sector:2013:AEI-020300-2013-174,2013,AEI-020300-2013-174,Transporte y distribución,AEI CLUSTER DE TURISMO DE EXTREMADURA,G10391613,INTERCONECTA EXTREMADURA: Red de radiales de transporte turístico conectadas y adaptadas a los nuevos modelos de comercialización online,68,concedida_segun_listado,29100.00,,general,"Transporte, distribución, almacenaje o servicios logísticos identificados en el título del proyecto.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/1-%20Listado_provisional_ayudas_concedidas.pdf"", ""label"": ""Anexo provisional: título y entidad"", ""pagina"": ""3""}, {""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/Listado_definitivo_ayudas_concedidas.pdf"", ""label"": ""Fuente del estado e importe"", ""pagina"": ""1""}]"
sector:2013:AEI-010200-2013-57,2013,AEI-010200-2013-57,Transporte y distribución,AGRUPACIÓN EMPRESARIAL INNOVADORA DEL TRANSPORTE Y LA LOGÍSTICA DE LA RIOJA,G26505651,PUESTA EN MARCHA Y DESARROLLO DE LAS ESTRUCTURAS DE COORDINACIÓN Y GESTIÓN DE LA AGRUPACIÓN EMPRESARIAL INNOVADORA DEL TRANSPORTE Y LA LOGÍSTICA DE LA RIOJA,58,concedida_segun_listado,53625.00,,general,"Transporte, distribución, almacenaje o servicios logísticos identificados en el título del proyecto.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/1-%20Listado_provisional_ayudas_concedidas.pdf"", ""label"": ""Anexo provisional: título y entidad"", ""pagina"": ""6""}, {""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/Listado_definitivo_ayudas_concedidas.pdf"", ""label"": ""Fuente del estado e importe"", ""pagina"": ""4""}]"
sector:2013:AEI-010300-2013-406,2013,AEI-010300-2013-406,Transporte y distribución,ASOCIACIÓN AGRUPACION EMPRESARIAL INNOVADORA DEL SECTOR DE LA AUTOMOCIÓN DE LA PROVINCIA DE JAÉN,G23624497,Plataformas logísticas portuarias e intermodales: Optimización del transporte internacional,,propuesta_desestimada_puntuacion,,,general,"Transporte, distribución, almacenaje o servicios logísticos identificados en el título del proyecto.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/2-%20Listado_provisional_ayudas_denegadas.pdf"", ""label"": ""Anexo provisional: título y entidad"", ""pagina"": ""7""}]"
sector:2013:AEI-010300-2013-351,2013,AEI-010300-2013-351,Transporte y distribución,ASOCIACIÓN MURCIANA DE LOGÍSTICA (AML),G73517492,Plan de Fortalecimiento de la Cooperación Empresarial y el Potencial Innovador de las Empresas de la Logística de la Región de Murcia,,lista_espera_sin_concesion,,,general,"Transporte, distribución, almacenaje o servicios logísticos identificados en el título del proyecto.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/2-%20Listado_provisional_ayudas_denegadas.pdf"", ""label"": ""Anexo provisional: título y entidad"", ""pagina"": ""19""}]"
sector:2013:AEI-010300-2013-356,2013,AEI-010300-2013-356,Transporte y distribución,ASOCIACIÓN MURCIANA DE LOGÍSTICA (AML),G73517492,Buenas Prácticas en la Distribución Urbana de Mercancías para la Mejora de Competitividad de las Empresas de Logística,,lista_espera_sin_concesion,,,general,"Transporte, distribución, almacenaje o servicios logísticos identificados en el título del proyecto.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/2-%20Listado_provisional_ayudas_denegadas.pdf"", ""label"": ""Anexo provisional: título y entidad"", ""pagina"": ""19""}]"
sector:2013:AEI-010300-2013-360,2013,AEI-010300-2013-360,Transporte y distribución,ASOCIACIÓN MURCIANA DE LOGÍSTICA (AML),G73517492,Plan de Apoyo a la Innovación para Empresas de Transporte y Logística de la Región de Murcia,,lista_espera_sin_concesion,,,general,"Transporte, distribución, almacenaje o servicios logísticos identificados en el título del proyecto.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/2-%20Listado_provisional_ayudas_denegadas.pdf"", ""label"": ""Anexo provisional: título y entidad"", ""pagina"": ""20""}]"
sector:2013:AEI-010300-2013-364,2013,AEI-010300-2013-364,Transporte y distribución,ASOCIACIÓN MURCIANA DE LOGÍSTICA (AML),G73517492,Nuevos Servicios para Empresas de Transporte y Logística de la Región de Murcia,,lista_espera_sin_concesion,,,general,"Transporte, distribución, almacenaje o servicios logísticos identificados en el título del proyecto.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/2-%20Listado_provisional_ayudas_denegadas.pdf"", ""label"": ""Anexo provisional: título y entidad"", ""pagina"": ""20""}]"
sector:2013:AEI-010300-2013-366,2013,AEI-010300-2013-366,Transporte y distribución,ASOCIACIÓN MURCIANA DE LOGÍSTICA (AML),G73517492,Innovación para la Eliminación de los Robos de Combustible en las Empresas de Transporte y Logística,,lista_espera_sin_concesion,,,general,"Transporte, distribución, almacenaje o servicios logísticos identificados en el título del proyecto.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/2-%20Listado_provisional_ayudas_denegadas.pdf"", ""label"": ""Anexo provisional: título y entidad"", ""pagina"": ""20""}]"
sector:2013:AEI-010300-2013-313,2013,AEI-010300-2013-313,Transporte y distribución,ASOC. CLUSTER CANARIO DEL TRANSPORTE Y LA LOGÍSTICA,G76031038,Organización y Gestión del Salón Atlántico de Logística y Transporte 2013,,propuesta_desestimada_puntuacion,,,general,"Transporte, distribución, almacenaje o servicios logísticos identificados en el título del proyecto.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/2-%20Listado_provisional_ayudas_denegadas.pdf"", ""label"": ""Anexo provisional: título y entidad"", ""pagina"": ""21""}]"
sector:2013:AEI-010200-2013-2,2013,AEI-010200-2013-2,Transporte y distribución,ASOCIACIÓN LOGÍSTICA INNOVADORA DE ARAGÓN,G99299299,Apoyo a las estructuras de coordinación y gestión de la Asociación Logística Innovadora de Aragón (ALIA),,lista_espera_sin_concesion,,,general,"Transporte, distribución, almacenaje o servicios logísticos identificados en el título del proyecto.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/2-%20Listado_provisional_ayudas_denegadas.pdf"", ""label"": ""Anexo provisional: título y entidad"", ""pagina"": ""28""}]"
sector:2013:AEI-010300-2013-192,2013,AEI-010300-2013-192,Transporte y distribución,ASOCIACIÓN LOGÍSTICA INNOVADORA DE ARAGÓN,G99299299,Implantación pilotos FASE 3 en Distribución Urbana de Mercancías de Zaragoza,,lista_espera_sin_concesion,,,general,"Transporte, distribución, almacenaje o servicios logísticos identificados en el título del proyecto.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/2-%20Listado_provisional_ayudas_denegadas.pdf"", ""label"": ""Anexo provisional: título y entidad"", ""pagina"": ""28""}]"
sector:2013:AEI-010300-2013-226,2013,AEI-010300-2013-226,Transporte y distribución,ASOCIACIÓN LOGÍSTICA INNOVADORA DE ARAGÓN,G99299299,Estudio de viabilidad para el diseño de una plataforma de soluciones tecnológicas que integren la explotación de sistemas TIC en el sector del Transporte y la Logística.,,lista_espera_sin_concesion,,,general,"Transporte, distribución, almacenaje o servicios logísticos identificados en el título del proyecto.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/2-%20Listado_provisional_ayudas_denegadas.pdf"", ""label"": ""Anexo provisional: título y entidad"", ""pagina"": ""28""}]"
sector:2013:AEI-010300-2013-244,2013,AEI-010300-2013-244,Transporte y distribución,ASOCIACIÓN LOGÍSTICA INNOVADORA DE ARAGÓN,G99299299,Desarrollo de la gestión de la cadena de suministro de diferentes unidades de negocio en un BSC integral.,,lista_espera_sin_concesion,,,general,"Transporte, distribución, almacenaje o servicios logísticos identificados en el título del proyecto.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/2-%20Listado_provisional_ayudas_denegadas.pdf"", ""label"": ""Anexo provisional: título y entidad"", ""pagina"": ""28""}]"
sector:2014:AEI-010500-2014-157,2014,AEI-010500-2014-157,Transporte y distribución,ASOC. CLUSTER DE LA SALUD DE ARAGON,G99374050,Desarrollo de un nuevo canal de distribución para la aplicación de Medicina Personalizada,51,propuesta_provisional_aprobada,,,general,"Transporte, distribución, almacenaje o servicios logísticos identificados en el título del proyecto.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2014/Documents/Listado_provisional_ayudas_concedidas.pdf"", ""label"": ""Anexo provisional: título y entidad"", ""pagina"": ""1""}]"
sector:2014:AEI-010300-2014-111,2014,AEI-010300-2014-111,Transporte y distribución,ASOCIACION LOGISTICA INNOVADORA DE ARAGON,G99299299,PROYECTO CLYMA: IMPLANTACION DE TREN MULTICLIENTE DE MERCANCIAS Y TERMINAL PARA TRANSPORTE COMBINADO,58,concedida_segun_listado,11728.00,,general,"Transporte, distribución, almacenaje o servicios logísticos identificados en el título del proyecto.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2014/Documents/Listado_provisional_ayudas_concedidas.pdf"", ""label"": ""Anexo provisional: título y entidad"", ""pagina"": ""1""}, {""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2014/Documents/Listado_definitivo_ayudas_concedidas.pdf"", ""label"": ""Fuente del estado e importe"", ""pagina"": ""18""}]"
sector:2014:AEI-010500-2014-221,2014,AEI-010500-2014-221,Transporte y distribución,AGRUPACION EMPRESARIAL PARA LA INNOVACION DE LOS PROCESOS PRODUCTIVOS DEL METAL,G98438773,DESARROLLO DE UN SISTEMA DE ASEGURAMIENTO DE CARGA EN TRANSPORTE TERRESTRE,66,concedida_segun_listado,32503.00,,general,"Transporte, distribución, almacenaje o servicios logísticos identificados en el título del proyecto.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2014/Documents/Listado_provisional_ayudas_concedidas.pdf"", ""label"": ""Anexo provisional: título y entidad"", ""pagina"": ""2""}, {""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2014/Documents/Listado_definitivo_ayudas_concedidas.pdf"", ""label"": ""Fuente del estado e importe"", ""pagina"": ""7""}]"
