expediente,nif,razon_social,titulo_proyecto,coste_total_original,solicitado_original,subvencionable_original,subvencion_original,comunidad_autonoma,puntuacion_o_motivo,coste_total_eur,solicitado_eur,subvencionable_eur,subvencion_columna_fuente_eur,id_registro,anio_convocatoria,estado_en_fuente,puntuacion,motivo,moneda,fuente_url,pagina_fuente,fila_pagina,fuente_sha256,fecha_consulta,observaciones
AEI-010500-2026-29,G19532209,"CLUSTER DE EMPRESAS DIGITALES, SOSTENIBLES E INDUSTRIAS INNOVADORAS (ONTECH INNOVATION)","Detección precoz de patógenos y gestión hídrica inteligente del olivar andaluz mediante Inteligencia Artificial e IoT agrícola, OLIVE-AI","311.981,00 €","249.582,00 €","297.960,00 €","238.366,00 €",Andalucía,"70,88",311981.00,249582.00,297960.00,238366.00,AEI-2026-010500-2026-29,2026,propuesta_provisional_aprobada,70.88,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,1,11,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-49,G01891530,CLUSTER ECONOMIA CIRCULAR & CONSTRUCCION '0' EMISIONES (CLUSTER ECCO),RE4 INNOVACION CIRCULAR PARA CARRETERAS SOSTENIBLES,"331.203,00 €","246.278,00 €","247.320,00 €","119.413,00 €","Asturias, Principado de","70,82",331203.00,246278.00,247320.00,119413.00,AEI-2026-010500-2026-49,2026,propuesta_provisional_aprobada,70.82,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,1,12,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-169,G46108569,ASOC. DE EMPRESARIOS TEXTILES DE LA COMUNIDAD VALENCIANA,"I+D y diseño de sistema de diagnóstico DIgital ENERgético, herramienta de analítica y optimización energética productiva para procesos de la cadena de valor del sector TEXtil especialización térmica del sistema DIENERTEX THERM - Fase2","321.093,00 €","247.636,00 €","284.510,00 €","153.207,00 €",Comunitat Valenciana,"70,77",321093.00,247636.00,284510.00,153207.00,AEI-2026-010500-2026-169,2026,propuesta_provisional_aprobada,70.77,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,1,13,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-97,G47702287,CLÚSTER DE HÁBITAT EFICIENTE (AEICE),INSPECTOR. Proyecto de investigación industrial para el diseño de herramienta digital inmersiva que permita formar inspeccionar correcta manipulación D encofrados especiales y colocación de la ferralla ...,"249.407,00 €","188.538,00 €","249.407,00 €","184.568,00 €",Castilla y León,"70,67",249407.00,188538.00,249407.00,184568.00,AEI-2026-010500-2026-97,2026,propuesta_provisional_aprobada,70.67,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,1,14,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-31,G99252918,ASOCIACIÓN CLUSTER DE AUTOMOCIÓN DE ARAGÓN (CAAR),VOLTIA-UGV Inteligencia artificial embebida en cargadores conductivos e inductivos para la estimación del estado de salud (SoH) de baterías de vehículos eléctricos y vehículos terrestres no tripulados (UGV),"350.241,00 €","249.874,00 €","350.241,00 €","249.874,00 €",Aragón,"70,18",350241.00,249874.00,350241.00,249874.00,AEI-2026-010500-2026-31,2026,propuesta_provisional_aprobada,70.18,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,1,15,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-158,G02881563,VIRATEC CLÚSTER GALEGO DE SOLUCIÓNS AMBIENTAIS E ECONOMÍA CIRCULAR,"MOIRA - Modelos ópticos de detección de sustancias peligrosas, inteligencia artificial y separación para la gestión de textiles postconsumo","272.059,00 €","215.144,00 €","270.059,00 €","213.544,00 €",Galicia,"69,41",272059.00,215144.00,270059.00,213544.00,AEI-2026-010500-2026-158,2026,propuesta_provisional_aprobada,69.41,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,1,16,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010600-2026-8,G13791793,ASOCIACIÓN CLUSTER AUDIOVISUAL DE MADRID,"PLATÓ Plataforma Logística del Audiovisual: Test Operativo ""Estudio de viabilidad de un sandbox de logística para el audiovisual""","68.143,00 €","34.071,00 €","45.643,00 €","22.821,00 €",Comunidad de Madrid,"69,40",68143.00,34071.00,45643.00,22821.00,AEI-2026-010600-2026-8,2026,propuesta_provisional_aprobada,69.4,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,1,17,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010600-2026-10,G65041345,ASSOCIACIÓ AEI INNOVI,"Estudio del potencial para la captación, integración y explotación de datos mediante la inteligencia artificial en la cadena de valor agroalimentaria - AGROVITIA","67.561,00 €","33.780,00 €","67.561,00 €","33.780,00 €",Cataluña,"69,36",67561.00,33780.00,67561.00,33780.00,AEI-2026-010600-2026-10,2026,propuesta_provisional_aprobada,69.36,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,2,1,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-62,G66522269,ASSOCIACIÓ CLÚSTER DE MATERIALS AVANÇATS DE CATALUNYA,"INGENIA: Proyecto de investigación industrial para optimizar la eficiencia, sostenibilidad y resiliencia de activos industriales mediante documentación técnica inteligente e IA agéntica","321.638,00 €","248.229,00 €","321.638,00 €","248.229,00 €",Cataluña,"68,72",321638.00,248229.00,321638.00,248229.00,AEI-2026-010500-2026-62,2026,propuesta_provisional_aprobada,68.72,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,2,2,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-14,G93341170,ASOCIACIÓN EMPRESARIAL MULTISECTORIAL INNOVADORA PARA LAS CIUDADES INTELIGENTES (CLUSTER ANDALUCÍA SMART CITY),"MEMORIA VIVA RURAL IA - Tecnología para que las historias de siempre no desaparezcan: una iteligencia turística viva que escucha a las personas mayores, preserva la memoria rural y la transforma en experiencias culturales con alma","363.798,00 €","218.278,00 €","363.798,00 €","218.278,00 €",Andalucía,"68,56",363798.00,218278.00,363798.00,218278.00,AEI-2026-010500-2026-14,2026,propuesta_provisional_aprobada,68.56,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,2,3,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-72,G99171951,ASOCIACIÓN AERONAÚTICA ARAGONESA,QUANTICOAT - Recubrimientos funcionales cuánticos para la detección temprana de daño estructural en infraestructuras críticas para la autonomía estratégica.,"262.937,00 €","203.881,00 €","262.937,00 €","203.881,00 €",Aragón,"68,34",262937.00,203881.00,262937.00,203881.00,AEI-2026-010500-2026-72,2026,propuesta_provisional_aprobada,68.34,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,2,4,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-78,G66522269,ASSOCIACIÓ CLÚSTER DE MATERIALS AVANÇATS DE CATALUNYA,TRACE4ACOUSTICS: Investigación industrial de materiales acústicos biobasados y tecnologías de trazabilidad digital para la construcción sostenible,"319.193,00 €","249.971,00 €","314.643,00 €","246.331,00 €",Cataluña,"68,05",319193.00,249971.00,314643.00,246331.00,AEI-2026-010500-2026-78,2026,propuesta_provisional_aprobada,68.05,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,2,5,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010300-2026-4,G84106202,ASOCIACION INSTITUTO TECNOLOGICO HOTELERO,"""IADA Tech for Hotels"" Primer indicador digital contra el desperdicio alimentario, de la compra al huésped","100.459,00 €","50.000,00 €","100.459,00 €","50.000,00 €",Comunidad de Madrid,"67,67",100459.00,50000.00,100459.00,50000.00,AEI-2026-010300-2026-4,2026,propuesta_provisional_aprobada,67.67,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,2,6,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-114,G99171951,ASOCIACIÓN AERONAÚTICA ARAGONESA,"VERTIMAS: Metodologías avanzadas de simulación y gemelo digital para la planificación y operación de vertipuertos modulares, autónomos y sostenibles.","204.823,00 €","147.961,00 €","204.823,00 €","147.961,00 €",Aragón,"67,40",204823.00,147961.00,204823.00,147961.00,AEI-2026-010500-2026-114,2026,propuesta_provisional_aprobada,67.4,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,2,7,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010200-2026-4,G13791793,ASOCIACIÓN CLUSTER AUDIOVISUAL DE MADRID,"AVinMotion 26-27 ""Estrategia de dinamización e impulso del ecosistema innovador audiovisual de Madrid - 2026-2027""","92.936,00 €","46.468,00 €","92.936,00 €","46.468,00 €",Comunidad de Madrid,"67,10",92936.00,46468.00,92936.00,46468.00,AEI-2026-010200-2026-4,2026,propuesta_provisional_aprobada,67.1,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,2,8,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-149,G15891260,ASOC CLUSTER DO AUDIOVISUAL GALEGO,VIRTUAL REALITECH:Precisión Tridimensional Avanzada para la Producción Audiovisual,"329.642,00 €","250.000,00 €","288.242,00 €","218.946,00 €",Galicia,"66,98",329642.00,250000.00,288242.00,218946.00,AEI-2026-010500-2026-149,2026,propuesta_provisional_aprobada,66.98,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,2,9,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-64,G43831338,"CENTRE DE DIFUSIO TECNOLOGICA DE LA FUSTA I EL MOBLE DE CATALUNYA, FUNDACIO PRIVADA","BIM2DAP: Plataforma digital BIM multimodal para el diseño industrializado, la fabricación avanzada y la gestión sostenible del ciclo de vida de proyectos de construcción","314.978,00 €","249.340,00 €","314.978,00 €","249.340,00 €",Cataluña,"66,77",314978.00,249340.00,314978.00,249340.00,AEI-2026-010500-2026-64,2026,propuesta_provisional_aprobada,66.77,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,2,10,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-92,G66505751,ASSOCIACIÓ CLÚSTER DIGITAL DE CATALUNYA,COLLABORATIVE E2E SUPPLY CHAIN INTELLIGENCE,"242.988,00 €","194.389,00 €","242.988,00 €","194.389,00 €",Cataluña,"66,70",242988.00,194389.00,242988.00,194389.00,AEI-2026-010500-2026-92,2026,propuesta_provisional_aprobada,66.7,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,2,11,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-85,G99171951,ASOCIACIÓN AERONAÚTICA ARAGONESA,INSPECTIA: Investigación de nuevos modelos de IA para detección y corrección de fallos de fabricación y defectos superficiales mediante sistema robotizado de escaneado 3D,"263.658,00 €","205.831,00 €","263.658,00 €","200.712,00 €",Aragón,"66,59",263658.00,205831.00,263658.00,200712.00,AEI-2026-010500-2026-85,2026,propuesta_provisional_aprobada,66.59,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,2,12,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-156,G99279911,ASOCIACIÓN CLÚSTER PARA EL USO EFICIENTE DEL AGUA (ZINNAE),RESILIAGUA - Resiliencia hídrica como palanca de competitividad y autonomía estratégica: tecnologías avanzadas para la detección y eliminación de contaminantes emergentes en el ciclo industrial del agua,"294.587,00 €","227.032,00 €","294.587,00 €","227.032,00 €",Aragón,"66,57",294587.00,227032.00,294587.00,227032.00,AEI-2026-010500-2026-156,2026,propuesta_provisional_aprobada,66.57,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,2,13,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-50,G99252918,ASOCIACIÓN CLUSTER DE AUTOMOCIÓN DE ARAGÓN (CAAR),"RECLASBAT - Plataforma avanzada de diagnóstico y clasificación circular para baterías de vehículo eléctrico, orientada a segunda vida y reciclaje avanzado.","322.640,00 €","246.355,00 €","322.640,00 €","246.355,00 €",Aragón,"66,51",322640.00,246355.00,322640.00,246355.00,AEI-2026-010500-2026-50,2026,propuesta_provisional_aprobada,66.51,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,2,14,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010300-2026-2,G84106202,ASOCIACION INSTITUTO TECNOLOGICO HOTELERO,Estudio de Viabilidad de Soluciones de Computación Cuántica para Hoteles (QUANTUM4HOTELS),"114.271,00 €","50.000,00 €","99.321,00 €","49.660,00 €",Comunidad de Madrid,"66,49",114271.00,50000.00,99321.00,49660.00,AEI-2026-010300-2026-2,2026,propuesta_provisional_aprobada,66.49,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,2,15,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010600-2026-11,G98322084,ASOCIACION CLUSTER DE LA ENERGIA DE LA COMUNITAT VALENCIANA (CECV),Estudio de viabilidad para la optimización ENERgética y valorización de HEAT (calor residual) en Centros de Datos - ENERHEAT-CPD,"43.746,00 €","21.873,00 €","43.746,00 €","21.873,00 €",Comunitat Valenciana,"66,43",43746.00,21873.00,43746.00,21873.00,AEI-2026-010600-2026-11,2026,propuesta_provisional_aprobada,66.43,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,2,16,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-103,G97811517,ASOCIACION DE EMPRESAS BIOTECNOLOGICAS DE LA COMUNIDAD VALENCIANA,"BIO-DIGIPROP AVOCADO: Sistema bio-digital de micropropagación ecoeficiente de aguacate mediante control oxidativo, bioestimulación y modelos predictivos","293.247,00 €","234.597,00 €","293.247,00 €","234.597,00 €",Comunitat Valenciana,"65,90",293247.00,234597.00,293247.00,234597.00,AEI-2026-010500-2026-103,2026,propuesta_provisional_aprobada,65.9,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,2,17,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
