id;comunidad;provincia;territorio;municipio;ambito;prioritario;aplica_auto;requiere_revision;exclusiones;notas;fuente_url
andalucia-almeria-beires;Andalucia;Almeria;Almeria;Beires;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-benahadux;Andalucia;Almeria;Almeria;Benahadux;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-benitagla;Andalucia;Almeria;Almeria;Benitagla;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-benizalon;Andalucia;Almeria;Almeria;Benizalón;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-bentarique;Andalucia;Almeria;Almeria;Bentarique;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-canjayar;Andalucia;Almeria;Almeria;Canjayar;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-cantoria;Andalucia;Almeria;Almeria;Cantoria;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-castro-de-filabres;Andalucia;Almeria;Almeria;Castro de Filabres;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-chercos;Andalucia;Almeria;Almeria;Chercos;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-chirivel;Andalucia;Almeria;Almeria;Chirivel;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-cobdar;Andalucia;Almeria;Almeria;Cóbdar;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-enix;Andalucia;Almeria;Almeria;Enix;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-felix;Andalucia;Almeria;Almeria;Felix;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-fines;Andalucia;Almeria;Almeria;Fines;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-finana;Andalucia;Almeria;Almeria;Fiñana;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-fondon;Andalucia;Almeria;Almeria;Fondón;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-gador;Andalucia;Almeria;Almeria;Gádor;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-guergal;Andalucia;Almeria;Almeria;Guergal;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-huecija;Andalucia;Almeria;Almeria;Huécija;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-huercal-de-almeria;Andalucia;Almeria;Almeria;Huercal de Almería;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-illar;Andalucia;Almeria;Almeria;Illar;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-instincion;Andalucia;Almeria;Almeria;Instinción;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-laroya;Andalucia;Almeria;Almeria;Laroya;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-laujar-de-andarax;Andalucia;Almeria;Almeria;Laujar de Andarax;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-lijar;Andalucia;Almeria;Almeria;Líjar;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-lubrin;Andalucia;Almeria;Almeria;Lubrín;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-lucainema-de-las-torres;Andalucia;Almeria;Almeria;Lucainema de las Torres;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-lucar;Andalucia;Almeria;Almeria;Lúcar;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-macael;Andalucia;Almeria;Almeria;Macael;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-maria;Andalucia;Almeria;Almeria;María;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-nacimiento;Andalucia;Almeria;Almeria;Nacimiento;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-nijar;Andalucia;Almeria;Almeria;Níjar;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-ohanes;Andalucia;Almeria;Almeria;Ohanes;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-olula;Andalucia;Almeria;Almeria;Olula;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-olula-de-castro;Andalucia;Almeria;Almeria;Olula de Castro;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-oria;Andalucia;Almeria;Almeria;Oria;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-padules;Andalucia;Almeria;Almeria;Padules;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-partaloa;Andalucia;Almeria;Almeria;Partaloa;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-paterna-del-rio;Andalucia;Almeria;Almeria;Paterna del Río;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-pechina;Andalucia;Almeria;Almeria;Pechina;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-purchena;Andalucia;Almeria;Almeria;Purchena;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-ragol;Andalucia;Almeria;Almeria;Rágol;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-rioja;Andalucia;Almeria;Almeria;Rioja;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-santa-cruz-de-marchena;Andalucia;Almeria;Almeria;Santa cruz de Marchena;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-santa-fe-de-mondujar;Andalucia;Almeria;Almeria;Santa Fe de Mondújar;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-senes;Andalucia;Almeria;Almeria;Senés;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-seron;Andalucia;Almeria;Almeria;Serón;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-sierro;Andalucia;Almeria;Almeria;Sierro;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-somontin;Andalucia;Almeria;Almeria;Somontín;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-sorbas;Andalucia;Almeria;Almeria;Sorbas;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-sufli;Andalucia;Almeria;Almeria;Suflí;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-taberna;Andalucia;Almeria;Almeria;Taberna;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-tabernas;Andalucia;Almeria;Almeria;Tabernas;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-tahal;Andalucia;Almeria;Almeria;Tahal;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-terque;Andalucia;Almeria;Almeria;Terque;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-tijola;Andalucia;Almeria;Almeria;Tíjola;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-tres-villas-las;Andalucia;Almeria;Almeria;Tres Villas Las;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-turrillas;Andalucia;Almeria;Almeria;Turrillas;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-uleila-del-campo;Andalucia;Almeria;Almeria;Uleila del Campo;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-urracal;Andalucia;Almeria;Almeria;Urrácal;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-velefique;Andalucia;Almeria;Almeria;Velefique;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-velez-blanco;Andalucia;Almeria;Almeria;Vélez Blanco;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-velez-rubio;Andalucia;Almeria;Almeria;Vélez-Rubio;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-viator;Andalucia;Almeria;Almeria;Viator;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-zurgena;Andalucia;Almeria;Almeria;Zurgena;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-alcala-de-los-gazules;Andalucia;Cadiz;Cadiz;Alcalá de los Gazules;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-alcala-del-valle;Andalucia;Cadiz;Cadiz;Alcalá del Valle;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-algar;Andalucia;Cadiz;Cadiz;Algar;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-algeciras;Andalucia;Cadiz;Cadiz;Algeciras;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-algodonales;Andalucia;Cadiz;Cadiz;Algodonales;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-arcos-de-la-frontera;Andalucia;Cadiz;Cadiz;Arcos de la Frontera;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-barrios-los;Andalucia;Cadiz;Cadiz;Barrios, Los;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-benalup-casasviejas;Andalucia;Cadiz;Cadiz;Benalup - Casasviejas;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-benaocaz;Andalucia;Cadiz;Cadiz;Benaocaz;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-bornos;Andalucia;Cadiz;Cadiz;Bornos;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-bosque-el;Andalucia;Cadiz;Cadiz;Bosque,El;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-castellar-de-la-fontera;Andalucia;Cadiz;Cadiz;Castellar de la Fontera;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-chiclana-de-la-frontera;Andalucia;Cadiz;Cadiz;Chiclana de la Frontera;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-espera;Andalucia;Cadiz;Cadiz;Espera;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-gastor-el;Andalucia;Cadiz;Cadiz;Gastor El;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-grazalema;Andalucia;Cadiz;Cadiz;Grazalema;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-jerez-de-la-frontera;Andalucia;Cadiz;Cadiz;Jerez de la Frontera;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-jimera-de-la-frontera;Andalucia;Cadiz;Cadiz;Jimera de la Frontera;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-medina-sidonia;Andalucia;Cadiz;Cadiz;Medina Sidonia;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-olvera;Andalucia;Cadiz;Cadiz;Olvera;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-paterna-de-rivera;Andalucia;Cadiz;Cadiz;Paterna de Rivera;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-prado-del-rey;Andalucia;Cadiz;Cadiz;Prado del Rey;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-puerto-de-santa-maria;Andalucia;Cadiz;Cadiz;Puerto de Santa María;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-puerto-real;Andalucia;Cadiz;Cadiz;Puerto Real;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-puerto-serrano;Andalucia;Cadiz;Cadiz;Puerto Serrano;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-san-fernando;Andalucia;Cadiz;Cadiz;San Fernando;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-san-jose-del-valle;Andalucia;Cadiz;Cadiz;San José del Valle;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-setenil-de-las-bodegas;Andalucia;Cadiz;Cadiz;Setenil de las Bodegas;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-torre-alhaquime;Andalucia;Cadiz;Cadiz;Torre Alháquime;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-trebujena;Andalucia;Cadiz;Cadiz;Trebujena;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-ubrique;Andalucia;Cadiz;Cadiz;Ubrique;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-villaluenga-del-rosario;Andalucia;Cadiz;Cadiz;Villaluenga del Rosario;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cadiz-zahara-de-la-sierra;Andalucia;Cadiz;Cadiz;Zahara de la Sierra;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cordoba-adamuz;Andalucia;Cordoba;Cordoba;Adamuz;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cordoba-aguilar-de-la-frontera;Andalucia;Cordoba;Cordoba;Aguilar de la Frontera;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cordoba-alcaracejos;Andalucia;Cordoba;Cordoba;Alcaracejos;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-cordoba-almedinilla;Andalucia;Cordoba;Cordoba;Almedinilla;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
