comunidad;territorio;provincia;municipio_regla;nuts_ids;marker_lon;marker_lat;zona_elegible;prioridad_alcance;prioridad_factor;prioridad_notas;intensidad_gran_pct;intensidad_mediana_pct;intensidad_pequena_pct;paro_tramo;paro_max_pts;turismo_equilibrio_pts;bonificacion_especial_pp;notas;fuente_url
Castilla y Leon;Zamora;Zamora;;ES419;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;20;30;40;<10;0;12;0;Limite provincial 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/CastillaLeon.aspx
Extremadura;Badajoz;Badajoz;;ES431;;;si;total;1.2;Toda la zona seleccionada es prioritaria segun el real decreto aplicable.;40;50;60;>18;5;10;0;Limite autonomico 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Extremadura.aspx
Extremadura;Caceres;Caceres;;ES432;;;si;total;1.2;Toda la zona seleccionada es prioritaria segun el real decreto aplicable.;40;50;60;14-18;4;10;0;Limite autonomico 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Extremadura.aspx
Castilla La Mancha;Albacete;Albacete;;ES421;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;30;40;50;10-14;3;12;0;Limite autonomico 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/CastillaMancha.aspx
Castilla La Mancha;Ciudad Real;Ciudad Real;;ES422;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;30;40;50;14-18;4;12;0;Limite autonomico 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/CastillaMancha.aspx
Castilla La Mancha;Cuenca;Cuenca;;ES423;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;30;40;50;<10;5;12;0;Cuenca tiene puntuacion maxima de paro por baja poblacion.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/CastillaMancha.aspx
Castilla La Mancha;Guadalajara;Guadalajara;;ES424;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;30;40;50;10-14;3;12;0;Limite autonomico 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/CastillaMancha.aspx
Castilla La Mancha;Toledo;Toledo;;ES425;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;30;40;50;14-18;4;10;0;Limite autonomico 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/CastillaMancha.aspx
Comunitat Valenciana;Alicante;Alicante;;ES521;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;15;25;35;>18;5;0;0;Limite autonomico 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/ComunidadValenciana.aspx
Comunitat Valenciana;Castellon;Castellon;;ES522;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;15;25;35;10-14;3;5;0;Limite autonomico 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/ComunidadValenciana.aspx
Comunitat Valenciana;Valencia;Valencia;;ES523;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;15;25;35;10-14;3;5;0;Limite autonomico 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/ComunidadValenciana.aspx
Andalucia;Almeria;Almeria;;ES611;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;50;60;70;14-18;4;3;0;Limite provincial 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Andalucia.aspx
Andalucia;Cadiz;Cadiz;;ES612;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;50;60;70;>18;5;3;0;Limite provincial 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Andalucia.aspx
Andalucia;Cordoba;Cordoba;;ES613;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;50;60;70;14-18;4;10;0;Limite provincial 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Andalucia.aspx
Andalucia;Granada;Granada;;ES614;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;40;50;60;>18;5;5;0;Limite provincial 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Andalucia.aspx
Andalucia;Huelva;Huelva;;ES615;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;40;50;60;>18;5;5;0;Limite provincial 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Andalucia.aspx
Andalucia;Jaen;Jaen;;ES616;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;40;50;60;>18;5;10;0;Limite provincial 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Andalucia.aspx
Andalucia;Malaga;Malaga;;ES617;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;40;50;60;>18;5;0;0;Limite provincial 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Andalucia.aspx
Andalucia;Sevilla;Sevilla;;ES618;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;40;50;60;>18;5;5;0;Limite provincial 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Andalucia.aspx
Murcia;Region de Murcia;Murcia;;ES620;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;30;40;50;10-14;3;7;0;Limite autonomico 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Murcia.aspx
Murcia;Lorca;Murcia;Lorca;;-1.6987;37.6713;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;30;40;50;10-14;3;7;5;Bonificacion especial territorial de 5 puntos porcentuales si el proyecto es calificado favorablemente.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Murcia.aspx
Islas Canarias;Las Palmas;Las Palmas;;ES704|ES705|ES708;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;60;70;80;>18;5;0;0;Limite autonomico 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/IslasCanarias.aspx
Islas Canarias;Santa Cruz de Tenerife;Santa Cruz de Tenerife;;ES703|ES706|ES709;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;60;70;80;>18;5;0;0;Limite autonomico 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/IslasCanarias.aspx
Islas Canarias;Isla de La Palma;Santa Cruz de Tenerife;La Palma;ES707;;;si;total;1.2;Toda la zona seleccionada es prioritaria segun el real decreto aplicable.;60;70;80;>18;5;0;5;Bonificacion especial territorial de 5 puntos porcentuales si el proyecto es calificado favorablemente.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/IslasCanarias.aspx
Ceuta;Ceuta;Ceuta;;ES630;;;si;total;1.2;Toda la zona seleccionada es prioritaria segun el real decreto aplicable.;30;40;50;>18;5;12;0;Limite autonomico 2026. Ciudad autonoma.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Ceuta.aspx
Melilla;Melilla;Melilla;;ES640;;;si;total;1.2;Toda la zona seleccionada es prioritaria segun el real decreto aplicable.;40;50;60;>18;5;12;0;Limite autonomico 2026. Ciudad autonoma.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Melilla.aspx
La Rioja;La Rioja;La Rioja;;ES230;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;15;25;35;10-14;3;10;0;Limite autonomico 2026. Comunidad uniprovincial.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Rioja.aspx
Islas Baleares;Islas Baleares;Islas Baleares;;ES531|ES532|ES533;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;15;25;35;14-18;4;0;0;Limite autonomico 2026. Comunidad uniprovincial.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/baleares.aspx
Cataluna;Cataluna;Cataluna;;ES511|ES512|ES513|ES514;;;no;no;1;Sin aplicacion en el sistema general de incentivos regionales.;;;;n/a;0;n/a;0;No acogible al sistema de Incentivos Regionales segun ficha oficial general.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/paginas/incentivosregionalesca.aspx
Comunidad de Madrid;Comunidad de Madrid;Comunidad de Madrid;;ES300;;;no;no;1;Sin aplicacion en el sistema general de incentivos regionales.;;;;n/a;0;n/a;0;No acogible al sistema de Incentivos Regionales segun ficha oficial general.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/paginas/incentivosregionalesca.aspx
Navarra;Navarra;Navarra;;ES220;;;no;no;1;Sin aplicacion en el sistema general de incentivos regionales.;;;;n/a;0;n/a;0;No acogible al sistema de Incentivos Regionales segun ficha oficial general.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/paginas/incentivosregionalesca.aspx
Pais Vasco;Pais Vasco;Pais Vasco;;ES211|ES212|ES213;;;no;no;1;Sin aplicacion en el sistema general de incentivos regionales.;;;;n/a;0;n/a;0;No acogible al sistema de Incentivos Regionales segun ficha oficial general.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/paginas/incentivosregionalesca.aspx
